title,category
박지현       여성이 변화 주역 대선 졌지만 여성은 승리 ,Politics
박지현  희망행진 시작       여성 당원 입당  러시  이유는  종합 ,Politics
박지현  민주당 졌지만  여성들 매우 의미있는 승리거둬 ,Politics
민주당       여성 목소리 들어 대선 패배 역사적 책임 다하겠다 ,Politics
이준석  전장연 시위  오세훈 들어 더 격해져 ,Politics
  호선 시위  첫날   이준석  비문명적  VS 전장연  굉장히 정파적 ,Politics
 열변 쏟은 이준석  시민들이 전장연 응원  그럼 휠체어 계속 끼워넣으라  시선집중 ,Politics
이준석 직격  전장연       선 아니고 옳은 것도 아니다 ,Politics
국방부   미사일 위협대응  국 군사훈련 논의된 바 없어 ,Politics
국방부  한미일 군사 훈련에  논의된 바 전혀 없다 ,Politics
군  북 위협대응 한미일 군사훈련  논의된 바 없다 ,Politics
 측  한미일 실질적 안보 협력 검토할 수 있을 것 ,Politics
재산    억 넘는 국회의원  전봉민 박덕흠 윤상현,Politics
국회의원 재산공개 의원      전년 대비 재산 증가,Politics
국회의원   명중  명  재산 늘었다  윤상현  년 연속  자산 최대 증식 ,Politics
전봉민    억 늘어     억       억대 유일 ,Politics
윤 당선인측  역사왜곡  일본 교과서  당선인 신분 입장 표명 부적절   올바른 역사인식 바탕돼야 ,Politics
일본 교과서에 윤석열 당선인측  입장표명 부적절  민주당 비판,Politics
   영부인 옷값 무분별한 의혹 거듭 유감   특활비 매년 감사 ,Politics
   옷값 현금이든 카드든 왜 문제  특활비 감사원 지적  건도 없었다 ,Politics
대구시장 선거 열기 달아오른다 후보들 출사표 이어져,Politics
홍준표 의원  대구시장 출마선언  강력한 추진력으로 도약 ,Politics
이준석  김정숙  특활비 지출사례 나오면 옷 반납해야  김어준  김건희한테도 그럴거냐 ,Politics
김어준    총장특활비로  김건희 가방  주장하면 입증요구할거냐 ,Politics
  동생 대학동기인 대우조선 신임 대표   알박기  논란,Politics
인수위  대우조선 사장 알박기 몰염치    정면 비판 신구 권력  재충돌 ,Politics
 새 정부 첫 총리   한덕수   임종룡 경합 안철수는 고사,Politics
새정부 총리 한덕수 유력   측  경제 외교안보 아우를 적임자 ,Politics
문 대통령  양산 매곡동 사저 매각으로   억 원 시세차익,Politics
문 대통령    억 원 빚내 사저 신축   억 원 채무  변제 완료 ,Politics
 속보  유승민 경기지사 출마 결심  어려운 선거지만 몸 던지겠다 ,Politics
김동연 경기지사 출마 유승민도 오후 출마 선언,Politics
 명심을 잡아라  경기지사 출사표 던진 김동연 안민석,Politics
안민석 경기도지사 출마  당원의 민주당 만들어 이재명을 당대표로 ,Politics
 DMZ 가상으로 즐겨요  통일부  첫 메타버스 체험 서비스,Politics
메타버스에서 DMZ 체험 통일부  플랫폼 국민에 개방,Politics
국힘 경남도당  공천관리위원회  명으로 구성 여성     청년    ,Politics
국힘 경남도당  지선 공천관리위 구성 여성 청년 포함  인,Politics
  뒤에서 어깨 툭 치자 이준석   도 칼각  폴더 인사  영상 ,Politics
 영상   대통령이  툭  치자 이준석   도 인사  포착 ,Politics
팽   시사  판 판 ,Politics
춘래불사춘 시사  판 판 ,Politics
통합과 화합의  년되길  시사  판 판 ,Politics
 번째  철수  시사  판 판 ,Politics
 월부터 빼빼로     원 롯데제과  초콜릿 빙과 가격 인상,Economic
빼빼로 스크류바 가격도 오른다 롯데제과 가격 인상,Economic
빼빼로도 오른다 롯데제과  과자 아이스크림 가격 인상,Economic
과자 사먹기 망설여지네 롯데제과도 가격 인상,Economic
코로나   확산 여파 산업생산  개월 연속 하락,Economic
 월 선행지수 순환변동치    p 하락  개월째 ,Economic
오미크론 영향  산업 생산 두달 째 감소    경기회복 주춤 ,Economic
코로나 대유행에 생산 두달째 감소  경기회복 주춤  종합 보 ,Economic
현대산업개발   개월 영업정지에  가처분 신청할 것 ,Economic
벼랑 끝 HDC현산 서울시 영업정지 처분에 소송 맞대응 종합 ,Economic
HDC현산  학동 사고  개월 영업정지에 집행정지 신청 종합 ,Economic
 광주 학동 참사  현대산업개발에 영업정지  개월,Economic
중진공  지난해  만    명 중소벤처기업 일자리 창출,Economic
중진공  지난해  만    명 중소기업 일자리 창출 지원 ,Economic
두나무  지난해 영업이익  조원 돌파  카카오 사외이사서 물러나,Economic
두나무  지난해 영업이익  조 돌파 카카오는 사외이사 물러나,Economic
 오세훈 셀프보상 의혹  내곡동서 대장동  돌려 까기 한 김헌동,Economic
