,title,category
0, 스페셜리포트 나라장터 쇼핑몰 구매 확대해야,IT
1, 풀세트 승부는 없다  T  vs 젠지  LCK 스프링 결승 출사표,IT
2, 게임에 쓸 돈을 야구에  주가 반토막 엔씨에 뿔난 주주들,IT
3,위니아   딤채  떼고 글로벌 시장 공략 잰걸음,IT
4,막 베끼면서 뻔뻔한 중국  삼성  샤오미 보다 훨씬 못해  ,IT
5,치열해지는  미래 먹거리  AI 로봇 시장 KT  월정액 방역로봇 출시,IT
6,음원 시장 뒤흔드는  유튜브 뮤직   위  멜론  맹추격  IT돋보기 ,IT
7,극심한 대도시 교통난  수직 이착륙 전기비행기  eVTOL   해결사로 투입,IT
8,  시장 또 두드리는 샤오미 내달  레드미노트    출격 대기,IT
9,NFT 키우는 샌드박스   월 자체 P E 게임 출시 ,IT
10,에코프로지이엠  내년 상장 추진 양극재 수직계열화 박차,IT
11,애플  네덜란드서 인앱결제  조원 규모 집단소송 직면,IT
12,샤오미  플래그십 스마트폰 성능 조작 의혹 긱벤치 퇴출 위기,IT
13,좌초 위기에 놓인 mRNA 백신 컨소시엄  세금 줄줄 샌다,IT
14, DD s톡  상폐위기 에디슨EV  쌍용차 인수로 한탕했나,IT
15, 지구를 보다   어린이  표식도 써 놓았는데 처참하게 파괴된 마리우폴,IT
16,삼성 계열 금융 서비스 한 곳으로 모은다,IT
17,압도적  가성비  내세운 알리바바 클라우드    한국 데이터센터 개관,IT
18, 우버를 부르면 택시가 달려온다   우버 택시업계  원수에서 동반자로 극적 변화,IT
19,AI 반도체  중소 팹리스에 그림의 떡 설계비만     억,IT
20, 스페셜리포트 나라장터 쇼핑몰 구매 확대해야,IT
21, 풀세트 승부는 없다  T  vs 젠지  LCK 스프링 결승 출사표,IT
22,에코프로그룹  사 주총 실시    연내 해외 진출 구체화할 것 ,IT
23, 인수위  중대본에 사회적 거리두기 완화 요청,IT
24, 속보  정부   차 접종  고령층 대상 검토   세 이하 접종하는 나라 없어 ,IT
25,통가 대규모 화산 폭발 원인은 바닷물 급격한 기화 작용 때문,IT
26, 관심집중  인수위 과학기술교육분과  인수위원 평가  극과극 ,IT
27, 용  띄운 샌드박스네트워크 NFT  게임 메타버스 본격화한다,IT
28,아이브이웍스   어플라이드와     V GaN 반도체 소재 개발한다,IT
29,남궁훈  카카오  커머스 계열사 규합해 네이버 추격  거래액     목표,IT
30, 우리는 형제    금성과 화성  토성이 촘촘히 만난다,IT
31,CATL  테슬라       보다 에너지     더 담는다,IT
32,화웨이  한국 기업에 러브콜   G 동반성장 하자 ,IT
33,세무부터 응대까지 자영업자 인건비 부담 줄여주는 앱 뜬다,IT
34,화웨이  한국기업과  G 클라우드 분야 협력 강화 기대 ,IT
35,ARM 원하는 SK  공동 인수 후보 누가 있을까,IT
36,팍스로비드    만명분 내일 더 들어온다 현재    만명분 남아있어,IT
37,국내연구진  학계 논란 종지부 찍고  RNA 합성  종결원리 밝혔다,IT
38,바이비트  UAE에서 사업 승인   두바이로 본사 이전,IT
39,소니 플레이스테이션     조원 들인 MS 게임패스에 맞불,IT
40,삼성 LG 뚫은  랩서스  해킹 수법  임직원 계정부터 공들였다,IT
41,글로벌  위 애플   보급형 아이폰SE  낮은 수요 왜 ,IT
42,웨이브  믿을맨  이태현 체제  년 더 간다,IT
43, 제약사는 인공지능을 모르고  AI기업은 신약개발을 모른다 ,IT
44, 통신사 말고 로봇 기업으로 불러다오  KT  AI 방역로봇 출시,IT
45, 단독  크래프톤   청년개발자  육성 프로그램 만든다,IT
46, 고든 정의 TECH   가장 오래전 동물 조상이 살았던 장소는 이곳,IT
47,나노소재 대표주자  탄소나노튜브  형성 비밀 풀었다,IT
48,KT   분의  가격  AI방역로봇  공개   돌아다니며 살균 ,IT
49,에코프로 대표직 내려놓는 이동채 회장    공장 못이라도 박겠다 ,IT
50,카카오모빌리티  자율주행 로봇 배송 플랫폼 만든다,IT
51, 단독  테사 미술품 투자자들  수익 정산 지연 개별 미공지에 불만,IT
52,알츠하이머 유발 단백질 뭉쳐지는 모습 포착,IT
53,삼성 LG전자 점찍은  로봇 사업  통신사 KT가 뛰어든 이유,IT
54, 한국판 NASA  우주청 신설 빛 볼까,IT
55,SK하이닉스  키파운드리 인수 공정위 승인,IT
56,디지코 KT  로봇 플랫폼  정조준   년후 서비스로봇 주도   IT돋보기 ,IT
57,RNA 합성 방식   년 논쟁 종결되나,IT
58,샌드박스네트워크  카카오게임즈 보라와 협업해 P E 게임 개발,IT
59, 지금은 과학  RNA 합성의  세 갈래 끝내기  여러 학설 논쟁 끝낼까,IT
60,오미크론  월부터 본격 감소    초여름까지 갈 수도 ,IT
61,다이슨 또 하나의 혁신   귀엔 음악  코와 입엔 신선한 공기,IT
62,웨이브  믿을맨  이태현 체제  년 더 간다,IT
63,파워마스터 반도체      V SiC MOSFET 상용화,IT
64, 종합  SK하이닉스 박정호 대표   시가총액    조원 목표 ARM M A 컨소시엄 논의 ,IT
65,    년 시장규모     우리 곁에 다가온 가상인간,IT
66,데뷔  년만에 몸값  억  임영웅 라이벌 된  로지 ,IT
67, 주총 주가 반토막에  뿔난  엔씨 주주  야구단 계속 할거냐  송곳 질문 종합 ,IT
68, 탄소나노튜브가 솟아나는 비밀    년만에 풀었다,IT
69,차병원 바이오그룹  세포 유전자 바이오뱅크  기공식     년 준공,IT
70,해수담수화 에너지소비량      에너지   나노분리막  개발,IT
71, 우리는 제조사 아니다  KT가 로봇시장서 내세운 강점은 ,IT
72,남부발전  해외매출     억원 영업익    억 원 돌파,IT
73, 단독 넷마블F C  P E 통합런처 개발  월렛부터 토큰 스왑까지 한 번에 ,IT
74,소독액 안 뿌리고 플라즈마로 방역하는 로봇 나와,IT
75,병원 공공기관에 KT AI 방역로봇 월   만   만원대 종합 ,IT
76,몸집 키운 네이버 카카오  새 경영진 넘어야 할 산은  글로벌 ,IT
77,부광약품  전립선암 치료제  SOL      임상서 유의한 결과 확인 ,IT
78,KT  로봇 서비스 플랫폼  사업자로 변신,IT
79,통신사 보상약관 개정  감감무소식  국회 직접 나서나,IT
80,하반신 마비 환자가 걷고  일반 병사가 터미네이터 된다 과학을읽다 ,IT
81,박정호 SK하이닉스 부회장  솔리다임과 협력 확대 ARM 인수 논의 ,IT
82, 탈   통신  선언한 KT  바이러스 살균하는  AI 방역 로봇  출시,IT
83, 주총  뿔난  엔씨 주주들  야구단 계속 할 겁니까  일 안합니까   공세,IT
84,차병원 바이오  세포유전자치료제 시설 건립     년 준공,IT
85,김택진  글로벌 게임사로 도약 엔씨의 잠재력 확인해 나갈 것 ,IT
86,펄어비스  년만에 사령탑 교체  검은사막M 중국 서비스에 최선 ,IT
87, 지구를 보다  러  이래도 발뺌  우크라  강제 이주  현장  위성 포착,IT
88,   우주굴기  장난 아니다   우주왕복선 따라잡나 과학을읽다 ,IT
89,  상원    조원 규모 반도체 육성 법안 통과,IT
90,애플  분실된 아이폰 수리 서비스 중단하나,IT
91,공정위  SK하이닉스의 키파운드리 인수 승인,IT
92,넥슨게임즈 출범 D    네오플 이어 핵심 개발사로 부상,IT
93,넥슨  던파모바일   구글 매출  위 등극,IT
94,SD바이오센서      억원 설비투자   유통사    억원 인수,IT
95,서울성모병원  암세포만 죽이는  개인 맞춤  카티세포치료 시작,IT
