,title,category
0,오미크론 끝나면  월쯤 새 변이  K방역 자찬말고 대비 서둘러야 ,Social
1,국민연금 보험료   월부터 최대  만    원 인상,Social
2,K 직장인들  코로나 속 부당처우 늘었다  연차 업무처리강요 ,Social
3,   대 남성과 포켓몬 씰 직거래 후 고백 받았습니다 ,Social
4,한상대 전 총장  공수처 설치로 검찰권 두 조각 수사지휘권 사라져 ,Social
5,안상수 인천시장 예비후보      인천올림픽 유치 공약,Social
6,전장연  지하철 시위 대신 삭발 투쟁  이준석  이간질 멈춰야  영상 ,Social
7, 폭언보다 무섭다  콜센터 상담사  자살  생각게 한 원인  위는,Social
8, 헌혈난을 포켓몬빵으로 해결하면 어떨까요  제안한 시민 반응은 ,Social
9,전기자전거로 배달하던   대 트럭에 치여 숨져 경찰 수사,Social
10,   대 남녀 살해  권재찬 절도 혐의  심 선고 또 불출석,Social
11, 노란불 에 선 승용차   톤 트럭이  쾅  누가 더 잘못 ,Social
12, 이성윤 수사외압  사건 재판부   에  피고인 관련 부분만 다뤄야 ,Social
13,아동 성착취물 제작한 최찬욱  형량 너무 무겁다 ,Social
14,뿔난 박범계  특검으로 말뚝 박나  직권발동 검토하겠다 ,Social
15,고속터미널 사거리서 화물차 추돌 전기자전거 운전자 사망,Social
16,다음 달  일부터 카페 일회용품 사용 제한   과태료 대신 계도 방침,Social
17, 코로나 검사  일이나 해   확진자는 퇴사  신종  직장 갑질 ,Social
18,임기말 박범계  대장동 특검 필요   정부 내 특검론 불지피기,Social
19,두 살 딸 굶겨 숨지게 한 친모 계부 구속기소,Social
20,두 살 딸 굶겨 숨지게 한 친모 계부 구속기소,Social
21,이주영  현역 의원 경남지사 선거 출마 자제해야지 ,Social
22,총 든 사진 올린 이근      특수작전팀 꾸려 기밀임무 수행 ,Social
23, 미성년자 성 착취물 제작 유포  최찬욱  항소심서  형량 너무 무겁다 ,Social
24, 날 쫓아내   피해망상에 토치 방화로 대형산불 낸   대 기소,Social
25,공대 졸업자  명 중  명은 여성 섬유 조경 건축 도시공학 전공 많아,Social
26,인수위  거리두기 완화 촉구  효과 없는 영업시간 제한 폐지해야 ,Social
27,서대구역 개통식 열려  하루  천명대 이용 예상 ,Social
28, 코로나 감염 우려에 퇴원  장애인  자택서 확진 후 사망,Social
29, 위안부 매춘 발언  류석춘  녹취파일 불법    월에 녹취록 확인키로,Social
30, 코로나 사망자 예상보다 빨리 증가 급증 여부 관건 ,Social
31, 옆방 투숙객 확인하려고  여인숙 입구에 불 지른   대,Social
32, 단독 국립대 음대교수 입시비리 의혹에   경찰 수사착수,Social
33, 인천  수소경제 클러스터 본궤도    글로벌 기업  플러그파워  투자,Social
34, 옆방 누가 있는지 보자  여인숙 입구에 불지른   대 구속,Social
35,서울시   학동 참사  현산에 영업정지  개월 아이파크 붕괴사고 처분 남아,Social
36,연락 끊겼던 이근  특수팀서 공세작전 참여  추측 삼가 달라 ,Social
37, 광주 사고  HDC   개월 영업정지 하도급 추가 처분은 ,Social
38,조선대병원  만성폐쇄성폐질환 진료 최우수  년 연속,Social
39, 만명 항체 조사  전국 단위 소아청소년 포함   차 접종  검토 중  종합 ,Social
40,초 중 남학생   명 성착취한 최찬욱   심서  징역   년 과하다 ,Social
41,인수위  공수처는 독립기관 폐지 보완 논의 없었다 ,Social
42, 마산해양신도시 특위  수사 재판 관련 증인 출석 요구 부적절 ,Social
43,최강욱  심 재판장  고발사주 의혹 사실관계 확인해야 ,Social
44,법규 위반 배달 오토바이 뒤쫓던 경찰관 교통사고로 부상,Social
45,권용혁 국민의힘 안동시장 예비후보  사회복지사 처우개선 공약,Social
46, 노조보다 노사협의회   삼성 노무관리  빼닮은 윤석열 노동공약,Social
47,한국이 낯선 여성들이 성폭력에 노출됐을 때   외국인 호신술 교육 현장에서 ,Social
