,title,category
0,수렁에 빠진 러시아  푸틴 핵무기 카드 꺼낼까 외신  불가능한 일 아냐 ,World
1, 우크라 침공  러  핵무기 쓸까  가능성 작지만 불가능한 건 아냐 ,World
2, 특파원 리포트  엔화는 어쩌다 싸구려가 됐나,World
3, 중국 제로 코로나 정책 지속 불가능 출구 마련해야  FT,World
4, 자막뉴스  평화협상 급물살 푸틴 젤렌스키 정상회담 성사 가능성,World
5, World Now  우크라 전쟁은 어떻게 끝날까  예측가능한  가지 시나리오는 ,World
6, 영상  푸틴  아들 뻘 젤렌스키 처음 만났던 순간,World
7,호주 동부   기록적 폭우 로 한 달만에 또  홍수  수천명 대피,World
8,러시아 신흥 재벌 도피처로 떠오르는  두바이 ,World
9,러시아 재벌 아브라모비치는 푸틴 비밀 특사 ,World
10,그린피스  비트코인 채굴방식 바꿔라    억원 광고 캠페인,World
11,북중러 위협에    핵무기 단일목적  정책 포기했다,World
12, 줌인  미 중 러 구애 한몸에 받는  약한 고리  인도,World
13,전 프랑스 외교차관  푸틴 안 미쳤다 ,World
14,러시아  키이우 인근 군 축소  밝혔지만   시간 벌기  불신 팽배,World
15, 푸틴  최빈국 아이들 음식도 빼앗는 격 세계 식량 안보 위협 ,World
16, 외안구단     두려울 게 없다   제재 안 돼  중 러  같은 듯 다른 뒷배,World
17,트럼프  푸틴에게  바이든 아들 불법 자금 정보 공개해달라 ,World
18,평화협상 급물살 푸틴 젤렌스키 정상회담 성사 가능성,World
19,마리우폴 지키는  아조우 연대  둘러싼 논란들,World
20,수렁에 빠진 러시아  푸틴 핵무기 카드 꺼낼까 외신  불가능한 일 아냐 ,World
21, 우크라 침공  러  핵무기 쓸까  가능성 작지만 불가능한 건 아냐 ,World
22, 전투태세 엉망  독일     조원으로   재무장한다는데 ,World
23,우크라 퍼스트레이디 러 저격 위협에도  남편 곁에 남겠다 ,World
24,미국 계속되는 중국 압박 전문가들  관계개선 의지 없는듯 ,World
25, 푸틴 지지 재벌 압박      일부터 러시아에 사치품 수출금지,World
26, 영상  러 핵전쟁 대비   푸틴 등 수뇌부  이미 핵벙커 은신   나우 어스 ,World
27,중국  대만 당국  레드라인 넘지말라 단호히 대응 ,World
28, 속보    코로나 신규 확진자     명대 돌파  우한 사태  이후 최악,World
29, 우크라 침공 Q A   희미한 희망  비친  차 평화협상,World
30,사우디 UAE  OPEC 서 러시아 퇴출 없다 정치화 마 ,World
31,미국 전자전기  그라울러   대 독일 배치   나토 동부 방어 강화키로,World
32,미국도 스텔스오미크론이 우세종   세 이상  번째 부스터샷 허가,World
33,미국  만   세 이상 코로나   백신  차 접종 시작,World
34, 테슬라 주식 액면분할 전기차 거품 더욱 증폭시킬뿐 ,World
35, 루블화 아니면 끝  D   러시아  정말 유럽 가스공급 끊을까,World
36,트럼프  푸틴에 또 SOS  바이든 아들 비리 공개해달라 ,World
37, 영상  러 우크라 협상장에 등장한 아브라모비치 푸틴 비밀 특사   나우 어스 ,World
38,  오미크론 위기     만명 사망할지도    코로나 제로  정책 고집 의문,World
39,  유럽사령관  러 군사력 과대평가  우크라 과소평가 인정 정보수집 부족 ,World
40,수요 폭발 vs 테슬라 액면분할 버블만 키워 전기차주 살까 말까,World
41,대양 해군 건설 위해 영향력 확대에 나서는 중국,World
42,휘발윳값 급등하자 구글서 전기차 검색 사상최고  수요 폭발 ,World
43,오늘 미국 대선 열린다면  트럼프가 바이든에 승리 ,World
44, 미국  중국과 관계 개선 의지 없다  중국 전문가 쓴소리,World
45,별명  강의 괴물    kg 괴생명체   명 사투 끝에 잡았다 뭐길래,World
46,인도  중국 밀어내고 스리랑카서  전략 풍력단지  건설키로,World
47,러 에너지 의존도 높은 유럽   LNG 공급에 해방될까,World
48, 안 유명하면 좀 어떤가     인플레 물류난에   소비자 충성도  흔들 ,World
49,미 FDA    세 이상 화이자 모더나  차접종 승인,World
50, 닥치고 꺼져라  한마디에 훈장 받은 우크라이나 병사,World
51, 미군  폴란드서 우크라  훈련 도와  바이든 또 실언 ,World
52,우크라  전쟁 자금 마련 위해 NFT   개 판매 개당    달러 넘어,World
53,푸틴 싫어 난민촌에 간 수십만 러시아인들  지원은  사각지대 ,World
54,조국 지키다 별 된 우크라 킥복싱 세계챔피언 코치  꼭 복수 ,World
55,미   키이우 작전 대폭 감소  불신  러시아 주장 속아선 안 돼 ,World
56, 영상  미콜라이우 주 청사에 미사일 고려인  세 비탈리 김 주지사는 ,World
57,우크라 저항의 핵심 아조우연대 일각선  나치 추종  비난도,World
58, 이제는 힐링할 때  윌 스미스 폭행 이후 처음으로 입 연 아내,World
59, 월드리포트  러시아의 침공이 불러온 세계 식량 시장  빨간불 ,World
60,윌 스미스에 뺨맞자 티켓값   배 뛰었다 크리스 록 공연 대박,World
61, 엔  악순환  우려  정부    년만에 외환시장 개입하나  정영효의 일본산업 분석 ,World
62,우크라이나 중립국화 제안  침공당하면 미 중 등 자동 개입 ,World
63,미국  자국 콘텐츠     이상 포함된 품목 러 수출 제한,World
64,머스크는  언론플레이 천재    부정적 뉴스 쉽게 덮어 ,World
65, 우크라 침공  협상장에 등장한 아브라모비치 푸틴 비밀 특사 ,World
66,러시아 투항 요구에  꺼져라  맞선 우크라 병사  정부 훈장 받았다,World
67, 우크라 침공  인도  우리 편  만들자 미 러 앞다퉈 고위급 파견,World
68,바이든  지켜볼 것  서방  러시아 제재 지속,World
69, 군사작전 축소  러  키이우서 병력 이동  미  철수 아닌 재배치일 뿐 ,World
70, 우크라 침공  전쟁은 어떻게 끝날까  개 시나리오,World
71,협상 나선 러  조기 휴전 의도 있나  병력 재편 시간 벌기  무게,World
72, 코로나 초기  소방수  맡았던 시진핑 측근 의외의 퇴임,World
73,  연금생활자     엔 지원금 정책 철회    선거용 퍼주기 정책  비판에 백기,World
74,러  자국군 포로 학대 의혹 영상에 유럽 비난  왜 침묵하나 ,World
75,미국 기업 사상최대 자사주 매입 행보에 바이든 행정부 제동,World
76,    사태 당시 트럼프 통화 목록  시간 반 공백 다른 폰 사용  누락 ,World
77,젤렌스키 우크라 대통령  러시아 평화협상 긍정적 긴장 늦추지 않을 것 ,World
78,러   활동 대폭 축소  발표에  바이든  말 아닌 행동 볼 것 ,World
79,중국 전문가  미국  중국과 관계 개선 의지 없는 듯 ,World
80,윌 스미스에 뺨맞자 티켓값   배 뛰었다 크리스 록 공연 대박,World
81, 엔  악순환  우려  정부    년만에 외환시장 개입하나  정영효의 일본산업 분석 ,World
82, 러 제재 노력 중국이 와해   과 회담 앞둔 EU  강경기류 ,World
83,비자 마스터카드 사업철수에도   러  국내 신용카드 사용 이상 ,World
84,러 우크라 전술 핵무기 사용 우려 타당한가,World
85, 러  군사활동 축소  못믿어     우크라에  억달러 추가지원,World
86, 러  군사력 상당히 소모  병력 전투기 탱크 전함 잃어,World
87, 첼시 구단주  아브라모비치는 왜 우크라 협상 전면에 나섰나,World
88,러시아  군사작전 축소 밝혔지만  키이우 주변 포격 이어져 ,World
89, 줌인  우크라 으로   년 만에 재개된 군비 확장 경쟁시대,World
90, 돈 버는 게임  엑시 인피니티      억원 암호화폐 해킹당해,World
91, 카드 막혀 요금도 못내  푸틴 재벌 친구들 생활난 호소,World
