,title,category
0, 경기도지사   은 접었다 유승민  출마냐 은퇴냐  금주 결정 ,Politics
1, 당 복귀  선택한 안철수  이준석과  불편한 동거 는 어떻게 ,Politics
2,여운국 공수처 차장  김진욱 처장 제대로 보좌 못한 책임 느낀다 ,Politics
3,탁현민  김정숙 옷값 논란에  특활비 공개할 거면 입법해 국회  검찰도 하자 ,Politics
4,이준석의 섬뜩한 경고   에 민감했던     내돈내산  아니면 옷 다 반납해야 ,Politics
5,   새정부 초대 총리  배수 압축 한덕수 유력,Politics
6,김재원   최고위원  권영진 불출마 회견장 방문 이유는 ,Politics
7,  청와대   검찰  특활비 비밀주의  판박이,Politics
8,    정각발사 다탄두 핵실험       군사합의 파기 나설 수도 ,Politics
9,황교익     검찰총장 때 쓴 특활비    억 사용처 공개하라 ,Politics
10,  졌잘싸 에 갇히면 답 없다  민주당 토론회서 쓴소리,Politics
11,인수위 출범   일  여기저기서  불통  논란  이유는,Politics
12, 뉴스플러스  대선   일 만에야 만난 문재인 윤석열  어떤 얘기가 ,Politics
13,울산시장 출마 국힘 후보들 공약 발표 잇따라  해상풍력사업 허상 ,Politics
14,이준석    특활비에 민감했던 문 대통령  반례 나오지 않길 ,Politics
15,인수위  김진욱 공수처장 거취 표명 바라는 국민들 있어 ,Politics
16,탁현민  김여사 옷에 특활비 안써 개사료도 직접 사 ,Politics
17, 당 지지기반 넓히겠다 는      지방선거 후 차기 당권 노릴 듯,Politics
18,두건 쓰고 앞치마 두르고    밥 푸며  구슬땀 ,Politics
19, 의 불심 달래기  조계종 종정 추대 법회에 현직 대통령 첫 참석,Politics
20, 의 불심 달래기  조계종 종정 추대 법회에 현직 대통령 첫 참석,Politics
21,전용기   역사왜곡 침묵  당선인 이순신 장군께 곤장 맞을 일 ,Politics
22, 브랜드 확립 실패한 이재명  대선 패배 쓴소리 쏟아졌다,Politics
23,홍준표   김정숙 여사 옷값 논란 에  대통령 월급으로 사야지요 ,Politics
24, 다른 곳 출마하려던 분이   충북도지사  외인  등판 논란,Politics
25, 더뉴스  안철수  총리 대신  당 복귀  선택   지방선거 시험대 ,Politics
26,조성은  김정숙  옷값 논란  저격  샤넬백 줄서서 사는 나라서 고깝고 우스워 ,Politics
27,이준석  전장연에 사과할 일 없다 고민정 의원 참고하시라 ,Politics
28,    김정숙 옷값 논란  에   의 의도적 가짜뉴스 논두렁시계 시즌  ,Politics
29,인수위    인 밤  시로 거리두기 완화 요청  정점서 내려갈 때 완화해야  종합 ,Politics
30,북한 매체  인수위원 실명 거론  윤석열 정권은 제 의 MB될 것 ,Politics
31, 샤넬백 줄서는 나라에서 왜 문제   친여 인사들 김정숙 옷값 옹호,Politics
32,박지현  부동산 정책실패 책임자 물의 전력자 공천 금지  종합 ,Politics
33,인수위  감소세면 거리두기 완화  영업시간 제한 폐지 주문 종합 ,Politics
34, 더뉴스    정부 초대 총리는 누가될까    역대 초대 총리 인선 배경,Politics
35,  이예람 중사 유가족 만난 윤미향  어머니들이 절규하지 않도록  ,Politics
36,민주당  임대차  법 폐지 축소에  교각살우 범할 우려  반대,Politics
37,인수위  코로나 확산 정점 지나면 영업시간 제한 즉시 철폐  종합 ,Politics
38, 정치   안철수  총리직 고사  당선인 부담 덜 것 ,Politics
39,출마 이야기 나눈 윤호중 김동연    발표는  조만간 ,Politics
40, 뽀뽀  밑에 반응 왔나  친이재명 유튜버 성희롱 발언 논란,Politics
41,김정은 보란듯     고체연료 우주발사체  시험발사 성공,Politics
42,안철수  총리 안 맡겠다  이르면 내달  일 인선 발표,Politics
43,이준석  사과할 일 없다  vs 장애인 단체   호선도 탄다 ,Politics
44,민주  임대차 법 폐지 축소는 교각살우 원칙적으로 지켜져야 ,Politics
45, 김정숙 옷값  때리기 이준석 가세  무엇이 두려워 감추는가 ,Politics
46, 대통령  불교  국민에 희망의 등불 밝혀  갈등 봉합 나섰다,Politics
47,  바이든도  대화 불응  북한과 장기전 태세,Politics
48,두손 모은 문 대통령  화합 통합의 시대로 나아가길 ,Politics
49,고체 우주발사체  정찰위성 중장거리 탄도미사일 활용,Politics
50,스텔스 무인기 고출력 레이저무기 등 국내 개발 추진,Politics
51,장영하 변호사 이기인 시의원 성남시장 출사표,Politics
52, 하루    명 온다  명동성당 무료급식소서  밥퍼 봉사 한  당선인,Politics
53,민주  대선 패배 진단   졌잘싸 프레임 갇히면 답 없어  쓴소리,Politics
