,title,category
0,고체 우주발사체  정찰위성 중장거리 탄도미사일 활용,Politics
1,스텔스 무인기 고출력 레이저무기 등 국내 개발 추진,Politics
2,권영진  전격 불출마 선언 국민의힘 대구시장 경선 구도  요동 ,Politics
3,전장연  이준석 보란 듯  호선 타겠다      내탓 하겠다  고민정 참고하길 ,Politics
4, 단독 인수위   정부 문서 파기 마라  각 부처에 금지령,Economic
5,국민연금  대표소송 논란 끝낼까 내달  일 소위원회서 논의,Economic
6,집값 전망지수  개월만 반등  당분간 관망세 이어질 듯 ,Economic
7,    만 인구 스리랑카 하루   시간 단전  외환 위기  악화,Economic
8,  년만 돌아온  포켓몬빵  열풍  띠부띠부씰  수만원 거래돼,Social
9,내달  일부터 카페 일회용품 사용 제한 과태료 대신 계도 방침,Social
10,인수위  전장연 요구 면밀히 검토  지하철 시위는 중단,Social
11, 트로트 음악 들으면 흥이 나요 한국 배우러 유학 왔어요 ,Social
12,김어준  이준석 비판    야만사회 지향하는 정치한다 ,Culture
13, 날씨  오늘 오후 전국 비 예상 강수량    안팎,Culture
14,피부 노화 주범 따로 있었다    국내 연구팀 첫 규명,Culture
15,올리브유를 머리카락에 바르면 무슨 일이 ,Culture
16,미국  만   세 이상 코로나   백신  차 접종 시작,IT
17, 테슬라 주식 액면분할 전기차 거품 더욱 증폭시킬뿐 ,IT
18,  오미크론 위기     만명 사망할지도    코로나 제로  정책 고집 의문,IT
19,  유럽사령관  러 군사력 과대평가  우크라 과소평가 인정 정보수집 부족 ,IT
20,ARM 원하는 SK  공동 인수 후보 누가 있을까,World
21,팍스로비드    만명분 내일 더 들어온다 현재    만명분 남아있어,World
22,오미크론  월부터 본격 감소    초여름까지 갈 수도 ,World
23,다이슨 또 하나의 혁신   귀엔 음악  코와 입엔 신선한 공기,World
