title,category
 건설현장 불법행위 근절  지역별 협의체 운영 연 회 일제점검,Politics
정부  건설현장 노조 불법행위 제재 강화,Politics
 공사장서 우리 노조만 써  불법행위 막는다 정부  채용 일원화 추진,Politics
김총리  건설현장 불법에 특단 대책 마련 인수위와도 논의 ,Politics
 민주 합당  새물결 김동연  경기지사 출마  제 모든 것 걸겠다 ,Politics
 민주 합당  새물결 김동연  경기지사 출마  제 모든것 걸겠다  종합 ,Politics
불붙는 민주당 경기도지사 사수전 이재명 지킬 후보는 누구 ,Politics
 민주당과 합당  새물결 김동연  경기도지사 출마선언,Politics
   김정숙 여사 옷값  특활비 거론 무분별한 의혹 제기 유감  종합 보 ,Politics
   특활비 검사   정부에서 첫 시행 지적받은 적 없어 ,Politics
김정숙 여사 한복 현금 결제    사비로 지출 ,Politics
청와대  특활비 역대 최저 수준 무분별한 의혹제기 유감 ,Politics
 안철수 카드  빠지자 한덕수 최중경 유력 거론 뉴스룸 예고,Politics
안철수  총리 안 맡겠다  이르면 내달  일 인선 발표,Politics
 경제 안보  다갖춘 한덕수  총리 유력 조만간   면담 예정 종합 ,Politics
 경제 안보 총괄  총리 골격 잡은  당선인 한덕수 전 총리 급부상,Politics
박주선  박근혜 최고 예우로 취임식 초청  MB도 사면돼 참석했으면 ,Politics
  당선인 측  김건희   월  일 대통령 취임식서 공식 인사 ,Politics
인수위 만류에도 대우조선 대표 알박기 인사,Politics
인수위  대우조선해양 알박기 인사  비상식   몰염치한 처사 ,Politics
 당선인측  총리  월초 발표 노력   일 인선 가능성,Politics
 속보   당선인측  청와대 측과  집무실 이전 후속 조치  접촉 있을 것 ,Politics
 위안부 삭제   교과서  측  미래지향적 관계 위해 앞으로 논의  민주  경악 ,Politics
일본 교과서에 윤석열 당선인측  입장표명 부적절  민주당 비판,Politics
   김일성생일    주년 열병식 훈련   광장에 대규모 군중 모여 ,Politics
   김일성 생일    주년 행사 연습 돌입 정황    광장에 붉은점 ,Politics
안민석   이재명 공약  들고 경기지사 출마  검찰공화국 맞서겠다 ,Politics
안민석 의원 경기지사 선거 출마   이재명 정책공약 승계 ,Politics
유승민 경기지사 출마 결심 오후  시 기자회견,Politics
유승민 경기지사 나간다  오후  시 출마 기자회견,Politics
인수위  정부 문건 파기 말라    부처에 공문,Politics
인수위   정부 문건 파기 말라  각 부처에 공문  은 뺐다  왜,Politics
 대통령  매곡동 사저  배 가격에 팔아   억 차익,Politics
사저 돈 대려   억 빌린 김정숙 여사      지인인지 못 밝힌다 ,Politics
 윤석열 정부 뒷받침  김영환  충북지사로 출마 선회,Politics
김영환   경기지사 출마  충북지사로 선회  윤 정부 뒷받침 ,Politics
민주  유류세 추가인하 불가피 양도세 중과유예 취득세 완화 논의 ,Politics
민주당  유류세 추가 인하 가닥  서민 경제 도움 돼 ,Politics
이준석   호선 타지마  vs 고민정   오징어게임장  만들지마 ,Politics
이준석  전장연에 사과 안해  고민정  오징어게임장 만들지 말라 ,Politics
 뉴스썰기  브로치 논란에 탁현민  딱 봐도 꼬리가 다른데 ,Politics
 뉴스썰기  갑질에 엉뚱한 사람 근무 인수위  폭로 ,Politics
 뉴스썰기  여당대표 될 이준석  야당 될 고민정과 또 썰전,Politics
 뉴스썰기   버스는 청와대 벙커를 싣고 ,Politics
폭스바겐그룹  올해 한국서 신차   종 출시 전기차는  종,Economic
폭스바겐코리아  올해 신차   종 출시한다,Economic
사명 바꾼 폭스바겐코리아    시장 노리고 칼 갈았다  올해 신차 공세 ,Economic
폭스바겐 아우디 포르쉐 람보르기니 벤틀리 똘똘 뭉친다,Economic
전기 이어 가스요금 인상 부담 커진 서민 경제,Economic
가스 전기요금 내일부터 줄줄이 인상,Economic
뉴욕증시 하락 나스닥        전기 이어 가스요금도 인상  모닝브리핑 ,Economic
 월부터 전기 가스요금 다 오른다  공공요금 줄인상에 가계부담 ,Economic
인천 서구  SK E S 플러그파워  투자 유치 수소 시대  우뚝 ,Economic
주총 맞은 에너지기업  새 정부도 힘실어준다 미래사업으로  수소  낙점 ,Economic
현대로템  국내 첫 바이오가스 활용 수소생산설비 납품,Economic
음식물 쓰레기서 수소 뽑아내  국산  호 현대로템이 만들었다,Economic
현대엘리베이터  로봇 AI 스피커 등 접목 가능한 오픈 API 출시,Economic
로봇이 알아서 문앞까지    현대엘리베이터  오픈API 공개,Economic
삼성바이오에피스  황반변성 치료제 글로벌 임상 상 완료 ,Economic
삼성바이오에피스     조  규모 아일리아 바이오시밀러  상임상 완료,Economic
  주주 행동주의 에 무릎꿇은 SM  지배구조 개편 속도 내나 fn마켓워치 ,Economic
SM 주총서 소액주주 제안 감사 선임  회사 주주  동반성장 고민 ,Economic
LG 창원공장  세계 등대공장  선정   부울경  차산업혁명 이끈다,Economic
 제조 공정도 글로벌 최고 수준  LG전자 스마트파크  세계경제포럼  등대공장  선정,Economic
전북 군산  산업위기대응특별지역 지정기간 연장,Economic
군산 산업위기대응특별지역 지정 연장한다  오늘 오전 발표 ,Economic
 회원제보다 비싸다  지적에   일부 대중골프장 이용료    인하,Economic
대중골프장 이용료 평균    싸졌다,Economic
박정호  ARM 공동인수 검토 ,Economic
키파운드리 품은 SK하이닉스  ARM 인수로 업계 톱 노린다 종합 ,Economic
빼빼로 스크류바까지 롯데제과 초콜릿 빙과 가격 최대     인상,Economic
    원으론 과자 한 봉지도 못 사네 롯데제과  과자 아이스크림 가격 인상,Economic
유류세 인하 여부 내달 확정 제조업 체감경기는  뚝 ,Economic
전국 휘발윳값     원 시대 홍남기  유류세     인하 폭 확대 여부 점검 중 ,Economic
 친절한 경제   이젠 갈래  억눌린 해외여행 수요 폭발,Economic
 친절한 경제   한국인 인생 절반은 인터넷 사용하며 산다 ,Economic
 친절한 경제  오픈런 부르는  명품 X 스트리트  콜라보,Economic
 친절한 경제  코로나가 바꾼 직장 인식  안전 관심  ,Economic
몰래 재배되는 양귀비 대마 경찰  내달부터 집중 단속,Social
지난해 대마 재배    명 양귀비    명 검거 경찰 집중단속,Social
은밀하게 재배되는 양귀비 대마 경찰   개월간 집중 단속,Social
경찰   양귀비 대마  재배 마약류 불법행위 집중단속,Social
부산  만    명 신규확진 외래진료센터 확충 속도,Social
코로나   환자 대면진료  외래진료센터     곳으로 늘어,Social
 확진자도 다치면 직접 치료받아야  vs  일반환자 감염될까 우려 ,Social
정부  동네 병원 확진자 진료 활성화되면 재택치료 개편 ,Social
 보험사가 돈을 안줘   가평계곡살인  이은해  과거 문의글  소름 ,Social
보험금 노리고 남편 살해  가평계곡 살인사건  용의자  명 공개수배,Social
 남편 보험금  억 노렸다   계곡 살인    대 남녀 공개수배,Social
 가평계곡 남편 살인  용의자 공개수배,Social
서울시  어르신 디지털 격차해소  어디나지원단     명 활동  만명 무료교육,Social
 어르신 스마트폰 사용법 알려 드려요   서울시  어디나지원단  어르신 강사 활동 개시,Social
 어르신 스마트폰 문맹 탈출   또래한테  카톡 활용법  배운다,Social
서울시   어디나지원단     명 활동개시   어르신 디지털 격차해소,Social
불법 의약품 도매상   곳 적발,Social
면허 빌리고 유효기간 지난 약 팔고 의약품 도매상 무더기 적발,Social
 아들 퇴직금 의혹  곽상도  검찰이 범죄사실 조작    혐의 전면 부인,Social
   억 혐의  곽상도     이규원처럼 허위공문서 만들었나 ,Social
 뇌물수수  유재수   부산 부시장 유죄 확정,Social
 뇌물수수  유재수 전 부시장 오늘 대법원 선고,Social
 년새 평균  억    만원  고위직     재산 불렸다,Social
고위직 평균 재산   억  천만 원  명 중  명 다주택자,Social
뇌출혈 아버지  간병 살인    대  징역  년 확정,Social
   으로 사망한 뇌출혈   간병 중 방치    대 아들 징역  년 확정,Social
전남도  동북아 해양관광 중심지로 도약한다,Social
전남권  동북아 해양관광중심지 도약 관광개발계획 확정,Social
  년의 기다림 끝     축제  같았던 서대구역 개통 현장,Social
홍준표  대구시장 출사표  고르디우스 매듭 끊어낼 결단 필요 ,Social
  호선 패륜아  피해자 아들  고소 안한단   설득해 매질할것 ,Social
  호선 패륜아  피해노인 아들  꼭 고소할 것 아버지 설득 중 ,Social
신규확진   만   명    만여명 감소 위중증     명 연일 최다,Social
신규 확진자   만   명 위중증 환자 역대 최다  종합 ,Social
 승부조작  전 삼성 투수 윤성환 징역   개월 확정,Social
대법   승부조작 시도  전 삼성 투수 윤성환   일 선고,Social
 사회적 거리두기 에 서울 수돗물 사용량 석촌호수    배 줄어,Social
